Address,PT Float ZRGWMOVR,PT Stable ZRGWMOVR,Total Liability ZRGWMOVR,PT Float WMOVRZRG,PT Stable WMOVRZRG,Total Liability WMOVRZRG,PT Float ZRGETH,PT Stable ZRGETH,Total Liability ZRGETH,PT Float ZRGUSDC,PT Stable ZRGUSDC,Total Liability ZRGUSDC,PT Float ZRGxcKSM,PT Stable ZRGxcKSM,Total Liability ZRGxcKSM,PT Float WMOVRUSDC,PT Stable WMOVRUSDC,Total Liability WMOVRUSDC,PT Float USDCWMOVR,PT Stable USDCWMOVR,Total Liability USDCWMOVR,PT Float ETHWMOVR,PT Stable ETHWMOVR,Total Liability ETHWMOVR,PT Float WMOVRETH,PT Stable WMOVRETH,Total Liability WMOVRETH,PT Float WMOVRxcKSM,PT Stable WMOVRxcKSM,Total Liability WMOVRxcKSM,PT Float xcKSMWMOVR,PT Stable xcKSMWMOVR,Total Liability xcKSMWMOVR,PT Float xcKSMUSDC,PT Stable xcKSMUSDC,Total Liability xcKSMUSDC,PT Float ETHUSDC,PT Stable ETHUSDC,Total Liability ETHUSDC,PT Float LDOUSDC,PT Stable LDOUSDC,Total Liability LDOUSDC,PT Float LDOWMOVR,PT Stable LDOWMOVR,Total Liability LDOWMOVR,PT Float WMOVRLDO,PT Stable WMOVRLDO,Total Liability WMOVRLDO,PT Float MFAMWMOVR,PT Stable MFAMWMOVR,Total Liability MFAMWMOVR,PT Float xcRMRKWMOVR,PT Stable xcRMRKWMOVR,Total Liability xcRMRKWMOVR
0xc6dAa92ae494acbe2bfaAb57F60Db8535BF2400F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x1e3E45456D7F86aC31a28823179A41526939Fb75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x2AD2264a0755936137Ac256fd9D742fEEe7AB5ff,0,92453111789227763803,761.2595225882396,0,0,0,744045699377662639505141,0,0,0,0,0,0,0,0,12049332035650498699,0,90.23174360729172,0,0,0,0,0,0,0,0,0,18268134099823401029,2608127871542,235.49578719686542,0,0,0,0,0,0,0,0,0,0,0,0,106532149845772422882,0,81.60373647054075,0,0,0,0,0,0,0,0,0
0x19892211994Bcf4BD669B6Ea1E458245EfCE78B0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0xE34A5982307E120785b0766e63d075AeE9272D45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0xc94dc73a2677E012FB6260c680CE5344E3AEAaB8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2073825280790369927,3782.9904920654226,0,15905458212813,552.7509174530423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0xA664Fc8075185500c4a321f399b49dF47454ffa4,0,3974876193184728096,32.72915637571714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x1cae141EC4f5beCD042D8Df35e397b00C26e0E8A,0,0,0,0,0,0,137699544293190371036667,0,0,0,0,0,941001334012915981737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x08be042ECEBf51988bcFb206B7EE75eBDBDd8Ee0,0,0,0,0,0,0,0,0,0,0,1942254644,1980.0107768340968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0xD9b74ABC520A41029E5b2304Ce229871673662bB,0,0,0,0,0,0,0,0,0,0,642490480,654.980065741227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0xB0E5453eD14b2E17e41D35e114F5C530bD604361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1220000000000000000,2225.476004690645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0xC6a20F97BFE06287bc104BD0d0D3343a6dA4A4fF,1862030266456271465477450,0,0,1892763983520225,0,0.093215316766873,0,370754607147426078,673.4154351403413,0,0,0,621380625874609865601992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x7Bba80E55FeD1812974Ea0dB50E58D3f82348c1b,0,40111778363217354007,330.2806434094091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x2B043fb6e0a646CA33e070C96782f5434026465e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x37d768C8FC5A0F54754A6bDB8b8469e6fF8CaD07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0xB79e0DCF43D1AB974eEEC8FCE9A9ED50EbeC2705,105336832894883462424343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x6a6344ACc9779052247977C12e444EaF7120D364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x4ae2fd7128533fe9b8a358e986f8d7e53fe13c14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x99873B7A96f3cF28966ed90E14B8F2e3bFD73296,14709650747426853278762082,0,0,0,0,0,0,0,0,2110429121977974963089552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x5163D2109Ac93B447828789b8dF537bc9Fa3BF19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0xe65130C719584A68D48e2968E79e19d5dAf1e983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46881796104,49532.175025468896,0,0,0,0,0,0,0,19717918770558146079,35968.65171009541,0,0,0,0,0,0,0,0,0,0,12343407398,12513.556178714352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x8e14f987963431F4D48df40DC13A0F84E50dA983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9489502541031841077,0,75.2471304173232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0xfB17d5CD85854B6Bee89e714591DE521F3169dE5,0,0,0,0,0,0,0,0,0,0,245372514,250.14239176089177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
